"mm","mdd","dd","hr","Ts_c","VPD","precip","uh","O3_ppb_zR","Rn_MJ","P_kPa","PAR"
4,18,108,15,4.96125,0,0.984166667,2.62003,30,0.13754772,98.56,88.8955029
4,18,108,16,3.02508,0,0.984166667,4.3416,30,0.103491,98.6,66.1896864
4,18,108,17,1.19564,0,0.984166667,3.26606,30,0.0594252,98.72,42.18724665
4,18,108,18,2.29916,0.003005567,0.984166667,3.48046,30,0.030537252,98.77,33.24435075
4,18,108,19,2.77232,0.016910467,0.984166667,3.36659,30,0,98.84,11.9347538
4,18,108,20,2.63998,0.019954057,0.984166667,3.4044,30,0,98.88,0.09974025
4,18,108,21,2.4729,0.028846244,0.984166667,4.03589,30,0,98.87,0
4,18,108,22,2.60286,0.029728898,0.984166667,4.18808,30,0,98.82,0
4,18,108,23,2.41722,0.056978452,0.984166667,3.82603,30,0,98.78,0
4,18,108,24,1.01734,0.024777648,0.984166667,2.93202,30,0,98.7,0
4,19,109,1,0.612058,0.018418352,0.114166667,3.61152,30,0,98.62,0
4,19,109,2,-0.202008,0.013746934,0.114166667,3.12408,30,0,98.58,0
4,19,109,3,0.0492,0.009708701,0.114166667,2.86301,30,0,98.59,0
4,19,109,4,-2.38961,0.006234925,0.114166667,2.71713,30,0,98.6,0
4,19,109,5,-1.78301,0.005896303,0.114166667,2.12582,30,0.0026370432,98.7,2.726034705
4,19,109,6,0.742227,0.005911315,0.114166667,3.6591,30,0.06162588,98.88,46.01028015
4,19,109,7,1.34758,0.004715683,0.114166667,3.91639,30,0.08815464,99.08,64.89306315
4,19,109,8,1.95945,0.007977884,0.114166667,4.26133,30,0.15579396,99.27,114.8594324
4,19,109,9,2.65929,0.012210939,0.114166667,3.67924,30,0.441594,99.44,311.633784
4,19,109,10,2.32358,0.02601138,0.114166667,3.77313,30,0.2004264,99.64,150.6637143
4,19,109,11,3.17552,0.046959599,0.114166667,4.41026,30,0.9492804,99.82,690.9860565
4,19,109,12,4.74106,0.114307608,0.114166667,4.85123,30,1.6573608,99.97,1203.015483
4,19,109,13,5.63082,0.168914193,0.114166667,4.65688,30,1.6292088,100.09,1236.692727
4,19,109,14,5.65408,0.188375305,0.114166667,3.98351,30,0.5596308,100.29,421.837506
4,19,109,15,6.47862,0.270779336,0.114166667,3.70544,30,0.6345684,100.4,535.734702
4,19,109,16,6.82784,0.303953266,0.114166667,3.25634,30,0.6248556,100.52,503.5196295
4,19,109,17,6.5725,0.2722795,0.114166667,2.00901,30,0.369216,100.6,325.9614195
4,19,109,18,6.6904,0.2971135,0.114166667,2.124,30,0.020354148,100.69,181.4147645
4,19,109,19,6.0437,0.215129669,0.114166667,1.67543,30,0,100.79,66.9209778
4,19,109,20,5.08953,0.119470516,0.114166667,1.7059,30,0,100.88,0
4,19,109,21,4.75697,0.097556407,0.114166667,1.60398,30,0,100.89,0
4,19,109,22,4.37712,0.069363137,0.114166667,2.08408,30,0,100.92,0
4,19,109,23,3.49392,0.038215576,0.114166667,1.97695,30,0,100.98,0
4,19,109,24,2.45352,0.022850378,0.114166667,1.84753,30,0,101.01,0
4,20,110,1,2.49832,0.021582514,0.005833333,1.57843,30,0,101.03,0
4,20,110,2,2.08423,0.018467093,0.005833333,1.40477,30,0,100.99,0
4,20,110,3,1.80852,0.009401025,0.005833333,1.36773,30,0,101.05,0
4,20,110,4,1.6275,0.007332249,0.005833333,1.56736,30,0,101.03,0.0333153
4,20,110,5,1.76706,0.007058977,0.005833333,1.50647,30,0.00033876,101.08,6.881604255
4,20,110,6,1.90365,0.00701141,0.005833333,1.24651,30,0.04268052,101.1,32.7789648
4,20,110,7,2.17623,0.007507137,0.005833333,1.70166,30,0.11501424,101.06,83.7094212
4,20,110,8,3.13962,0.007912745,0.005833333,1.48808,30,0.25722864,101.07,189.5264231
4,20,110,9,4.3066,0.041023812,0.005833333,1.85229,30,0.4590108,101.06,331.2137205
4,20,110,10,5.65585,0.142402523,0.005833333,1.97291,30,0.7177716,101.02,520.0086465
4,20,110,11,7.03229,0.255778777,0.005833333,2.44931,30,1.3041144,100.99,1010.099331
4,20,110,12,8.73416,0.449269736,0.005833333,3.5209,30,1.7010216,100.95,1321.766019
4,20,110,13,9.52121,0.535711599,0.005833333,3.5186,30,1.6563816,100.92,1298.858666
4,20,110,14,9.10816,0.556301463,0.005833333,3.93836,30,1.4868504,100.91,1178.314862
4,20,110,15,8.46887,0.44812855,0.005833333,3.35342,30,1.236222,100.88,1001.620382
4,20,110,16,8.18267,0.471710926,0.005833333,2.96922,30,0.9017424,100.87,775.7261955
4,20,110,17,7.28802,0.409693205,0.005833333,2.79484,30,0.4847256,100.87,499.4313075
4,20,110,18,6.30091,0.359659586,0.005833333,2.63971,30,0.09701532,100.85,242.4839715
4,20,110,19,4.27242,0.165361393,0.005833333,1.83516,30,0,100.88,52.2601893
4,20,110,20,2.60421,0.084404495,0.005833333,2.964,30,0,100.9,0.0333153
4,20,110,21,2.00881,0.059576727,0.005833333,2.19489,30,0,100.87,0
4,20,110,22,1.49694,0.045283367,0.005833333,2.95449,30,0,100.84,0
4,20,110,23,1.00849,0.028267656,0.005833333,1.77451,30,0,100.81,0
4,20,110,24,0.58039,0.016889222,0.005833333,1.78408,30,0,100.78,0
4,21,111,1,0.553838,0.013358164,0.004583333,1.95912,30,0,100.75,0
4,21,111,2,0.0452,0.012362681,0.004583333,1.98893,30,0,100.71,0
4,21,111,3,-0.217268,0.00902091,0.004583333,2.54035,30,0,100.7,0
4,21,111,4,-0.082,0.006579517,0.004583333,2.95093,30,0,100.67,0
4,21,111,5,-0.245805,0.006001423,0.004583333,2.30521,30,0,100.65,31.2497514
4,21,111,6,0.287618,0.006239249,0.004583333,2.51511,30,0.0927144,100.63,77.1602913
4,21,111,7,1.60393,0.023216652,0.004583333,2.12317,30,0.2129094,100.62,173.2366809
4,21,111,8,3.71427,0.10567876,0.004583333,3.27313,30,1.0106928,100.61,835.498368
4,21,111,9,6.07651,0.185667181,0.004583333,2.51154,30,1.2024432,100.59,994.2416595
4,21,111,10,9.63673,0.365187777,0.004583333,2.24566,30,1.4829516,100.56,1201.851504
4,21,111,11,12.2134,0.542173831,0.004583333,2.51896,30,1.7921988,100.52,1394.936289
4,21,111,12,12.8824,0.666786509,0.004583333,4.64494,30,1.7320176,100.53,1362.589601
4,21,111,13,11.8151,0.670196512,0.004583333,5.03537,30,1.7930628,100.58,1379.709963
4,21,111,14,9.79715,0.570529835,0.004583333,5.0333,30,1.1179152,100.66,885.3993405
4,21,111,15,9.09946,0.541202119,0.004583333,4.69139,30,0.5245596,100.67,428.2887465
4,21,111,16,8.3238,0.472988091,0.004583333,4.49714,30,0.26381988,100.67,235.2697695
4,21,111,17,7.59526,0.410694813,0.004583333,3.94207,30,0.15770844,100.7,166.9534565
4,21,111,18,6.95682,0.349838223,0.004583333,2.89363,30,0,100.72,128.6891892
4,21,111,19,6.11029,0.274909716,0.004583333,2.45955,30,0,100.73,34.07558805
4,21,111,20,4.81639,0.193052818,0.004583333,2.43244,30,0,100.73,0.13305555
4,21,111,21,4.56757,0.162049031,0.004583333,1.5969,30,0,100.7,0
4,21,111,22,4.18822,0.127550031,0.004583333,1.95723,30,0,100.67,0
4,21,111,23,4.11845,0.095193722,0.004583333,1.95627,30,0,100.64,0
4,21,111,24,4.06143,0.074242089,0.004583333,1.92029,30,0,100.61,0
4,22,112,1,3.91801,0.05771747,0,1.97478,30,0,100.55,0
4,22,112,2,3.88774,0.054230748,0,1.56972,30,0,100.52,0
4,22,112,3,3.88646,0.04991956,0,1.26771,30,0,100.5,0
4,22,112,4,3.8862,0.047766345,0,1.14136,30,0,100.49,0.0333153
4,22,112,5,3.8314,0.04315893,0,0.924129,30,0,100.48,4.388262525
4,22,112,6,3.88162,0.041698017,0,0.93788,30,0.04520808,100.47,49.0355973
4,22,112,7,4.01846,0.045089569,0,0.996073,30,0.07680492,100.49,69.97961025
4,22,112,8,4.27239,0.057931491,0,1.15839,30,0.11400408,100.51,92.88490725
4,22,112,9,4.5754,0.072595319,0,1.88054,30,0.19132596,100.54,152.5254638
4,22,112,10,5.35087,0.13091277,0,1.80146,30,0.42786,100.56,325.9943235
4,22,112,11,6.24477,0.220366155,0,2.33122,30,0.6342876,100.57,476.5589145
4,22,112,12,7.29976,0.294077387,0,1.58966,30,1.3575492,100.57,1040.484119
4,22,112,13,7.83614,0.393247296,0,1.06072,30,0.4302216,100.57,349.39935
4,22,112,14,8.23785,0.429502594,0,0.882671,30,0.6096852,100.6,477.6899895
4,22,112,15,8.86977,0.474853091,0,1.60227,30,0.5765292,100.6,450.9596025
4,22,112,16,8.78051,0.464158342,0,2.15935,30,0.4318992,100.63,368.746902
4,22,112,17,8.89978,0.502930684,0,1.32983,30,0.3617136,100.62,384.5716695
4,22,112,18,8.49918,0.406279884,0,1.1729,30,0.07625952,100.62,117.9180648
4,22,112,19,8.43585,0.368123204,0,0.432638,30,0,100.65,47.4397533
4,22,112,20,8.27163,0.324654876,0,1.35481,30,0,100.66,0.265954806
4,22,112,21,7.01013,0.201534908,0,2.15164,30,0,100.69,0
4,22,112,22,5.7361,0.112262316,0,2.20216,30,0,100.69,0
4,22,112,23,5.68677,0.103636173,0,1.81627,30,0,100.68,0
4,22,112,24,4.9217,0.063090685,0,1.82296,30,0,100.68,0
4,23,113,1,3.9289,0.034819197,0,1.7982,30,0,100.7,0
4,23,113,2,3.38444,0.02389521,0,1.45882,30,0,100.72,0
4,23,113,3,2.84072,0.01449356,0,1.15552,30,0,100.73,0
4,23,113,4,2.67979,0.010375942,0,1.34081,30,0,100.72,0.1994805
4,23,113,5,2.39322,0.007624491,0,1.40321,30,0,100.72,28.02495375
4,23,113,6,2.40053,0.00617543,0,1.54889,30,0.10510668,100.74,184.9718925
4,23,113,7,3.17507,0.010235786,0,1.29761,30,0.4843548,100.78,471.7384785
4,23,113,8,4.75405,0.070077595,0,0.697948,30,0.4961304,100.8,391.7529675
4,23,113,9,5.4841,0.101131792,0,1.00221,30,0.35625132,100.83,274.365891
4,23,113,10,7.07542,0.219914032,0,1.89749,30,0.918738,100.86,665.586225
4,23,113,11,7.34818,0.19907708,0,1.92527,30,0.556236,100.89,414.7569765
4,23,113,12,8.92311,0.262972165,0,1.28676,30,0.8865288,100.89,635.33511
4,23,113,13,10.0248,0.326540963,0,2.24715,30,0.912996,100.9,648.632439
4,23,113,14,10.7301,0.338010064,0,1.43903,30,0.3778308,100.92,289.991178
4,23,113,15,10.474,0.295477404,0,1.92528,30,0.08919684,100.96,95.37820785
4,23,113,16,10.9578,0.339027914,0,1.10747,30,0.598752,100.96,464.8903335
4,23,113,17,11.0132,0.326247691,0,1.95169,30,0.2139012,100.98,186.7339017
4,23,113,18,10.8517,0.317769773,0,1.23958,30,0.16932528,101,206.546634
4,23,113,19,10.4338,0.276122517,0,1.11932,30,0,101.04,31.6487124
4,23,113,20,9.94844,0.2223667,0,0.682669,30,0,101.08,0.59840037
4,23,113,21,9.55257,0.132818812,0,0.758387,30,0,101.13,0
4,23,113,22,9.17179,0.150769391,0,0.759496,30,0,101.16,0
4,23,113,23,9.10096,0.177435753,0,0.512641,30,0,101.18,0
4,23,113,24,8.77145,0.141270356,0,0.835341,30,0,101.22,0
4,24,114,1,7.76407,0.058823677,0.02,1.47008,30,0,101.25,0
4,24,114,2,6.14665,0.025054792,0.02,1.66263,30,0,101.26,0
4,24,114,3,6.85518,0.016712747,0.02,2.23022,30,0,101.27,0
4,24,114,4,6.11322,0.015406558,0.02,0.693408,30,0,101.31,0.1661652
4,24,114,5,6.94409,0.005826866,0.02,0.283097,30,0,101.34,38.13141735
4,24,114,6,7.37428,0.010117112,0.02,0.980836,30,0.00343305,101.36,132.944499
4,24,114,7,7.7054,0.065955657,0.02,1.16872,30,0.5064552,101.41,545.3406135
4,24,114,8,9.64067,0.240216842,0.02,1.3209,30,0.884574,101.45,795.639285
4,24,114,9,10.6772,0.320954335,0.02,1.6157,30,1.242468,101.5,1019.773107
4,24,114,10,12.2189,0.422582969,0.02,1.19339,30,1.070244,101.55,749.162385
4,24,114,11,11.3854,0.308570445,0.02,1.00148,30,0.5086152,101.6,398.401632
4,24,114,12,11.8195,0.376550946,0.02,1.75717,30,0.597654,101.62,475.228359
4,24,114,13,11.3528,0.30700759,0.02,1.82173,30,0.6285564,101.65,496.1738115
4,24,114,14,11.5971,0.321592825,0.02,2.56261,30,1.4665932,101.69,1122.764684
4,24,114,15,8.92127,0.184629201,0.02,2.70933,30,0.16199064,101.75,142.3194656
4,24,114,16,9.98373,0.163537831,0.02,3.33133,30,0.7075044,101.75,581.7118725
4,24,114,17,10.7771,0.293531439,0.02,1.69403,30,0.09196524,101.75,210.3038595
4,24,114,18,9.66697,0.107197229,0.02,1.46119,30,0.0080532,101.78,139.9590149
4,24,114,19,8.70187,0.054252911,0.02,1.74657,30,0,101.82,26.69522085
4,24,114,20,7.18884,0.044021552,0.02,2.2582,30,0,101.88,0.565154991
4,24,114,21,6.36102,0.025109532,0.02,2.04175,30,0,101.93,0
4,24,114,22,5.71452,0.014986318,0.02,2.09146,30,0,101.96,0
4,24,114,23,5.25198,0.010069097,0.02,1.30827,30,0,102.01,0.0333153
4,24,114,24,5.18467,0.006337875,0.02,1.27878,30,0,102.06,0
4,25,115,1,5.09584,0.004394234,0,1.36052,30,0,102.08,0
4,25,115,2,4.90407,0.009249852,0,1.52587,30,0,102.1,0
4,25,115,3,4.46624,0.009811329,0,2.12639,30,0,102.1,0.0333153
4,25,115,4,3.99175,0.003795878,0,1.82732,30,0,102.11,1.030577958
4,25,115,5,3.48578,0.000653733,0,1.69208,30,0.019915704,102.12,21.4427142
4,25,115,6,3.36698,0,0,1.98485,30,0.08113716,102.16,77.02723575
4,25,115,7,3.45883,0,0,2.26105,30,0.19834056,102.19,177.6250463
4,25,115,8,3.73578,0,0,1.67582,30,0.31704444,102.24,236.8327095
4,25,115,9,4.30054,0,0,1.52471,30,0.3755088,102.27,275.4291015
4,25,115,10,5.0735,0.008043829,0,1.77953,30,0.5977188,102.3,426.6929025
4,25,115,11,6.18713,0.063523824,0,1.59273,30,0.6271236,102.32,451.52514
4,25,115,12,7.1054,0.069864615,0,1.33796,30,1.032138,102.33,743.079258
4,25,115,13,9.07251,0.17382287,0,1.48552,30,1.1012292,102.31,819.408312
4,25,115,14,10.2922,0.251579444,0,2.13431,30,0.7816824,102.31,593.9110305
4,25,115,15,11.0871,0.308246259,0,2.00849,30,0.757494,102.28,580.780278
4,25,115,16,10.9407,0.315512852,0,2.46718,30,0.5865876,102.27,460.8349155
4,25,115,17,10.9443,0.303584337,0,1.85889,30,0.25879104,102.27,306.3136185
4,25,115,18,10.1812,0.224412212,0,1.9714,30,0.08615772,102.27,163.9281393
4,25,115,19,9.1835,0.16970045,0,1.81372,30,0,102.31,54.32141925
4,25,115,20,8.04239,0.131210289,0,2.25803,30,0,102.37,1.363021466
4,25,115,21,7.03545,0.098513811,0,2.40931,30,0,102.41,0
4,25,115,22,6.39902,0.071837918,0,1.67399,30,0,102.43,0
4,25,115,23,5.57976,0.048176622,0,2.06454,30,0,102.45,0
4,25,115,24,4.53358,0.032670931,0,1.80749,30,0,102.47,0
4,26,116,1,4.0628,0.030381271,0,1.43314,30,0,102.48,0
4,26,116,2,3.87861,0.028779055,0,1.68892,30,0,102.47,0
4,26,116,3,3.43996,0.022945818,0,1.89092,30,0,102.47,0
4,26,116,4,2.70815,0.014852752,0,1.99646,30,0,102.47,1.329776087
4,26,116,5,2.58256,0.007851127,0,2.42528,30,0,102.48,50.66455095
4,26,116,6,2.95386,0.003778682,0,2.13296,30,0.119475,102.51,125.1320612
4,26,116,7,3.412,0.003122822,0,2.95894,30,0.24854004,102.54,205.2843543
4,26,116,8,3.96891,0.049940218,0,2.92114,30,0.33088428,102.57,344.677626
4,26,116,9,6.05442,0.149684399,0,2.56159,30,1.2886272,102.59,1060.031151
4,26,116,10,8.47925,0.283837042,0,2.36752,30,1.5651828,102.58,1255.608414
4,26,116,11,9.76871,0.369634581,0,2.70512,30,1.764684,102.56,1390.082949
4,26,116,12,11.8392,0.552246712,0,2.56448,30,1.9677456,102.54,1518.605973
4,26,116,13,11.5989,0.570158929,0,3.03682,30,1.5981084,102.53,1229.445621
4,26,116,14,12.5004,0.65080531,0,2.95518,30,1.2921228,102.5,1056.806559
4,26,116,15,12.6739,0.66044404,0,3.1149,30,1.38141,102.47,1114.553079
4,26,116,16,12.8899,0.672102853,0,3.40415,30,1.0178244,102.44,866.382885
4,26,116,17,12.3929,0.636995409,0,3.17601,30,0.6049764,102.45,598.865139
4,26,116,18,11.5499,0.554474419,0,2.77615,30,0.18073692,102.44,328.0549365
4,26,116,19,10.2452,0.428673753,0,2.16536,30,0,102.44,97.33969755
4,26,116,20,8.44129,0.26761358,0,2.16611,30,0,102.47,1.861687755
4,26,116,21,6.47156,0.159545612,0,2.11697,30,0,102.49,0
4,26,116,22,4.79547,0.096098582,0,2.19218,30,0,102.49,0
4,26,116,23,3.65082,0.061138608,0,1.95012,30,0,102.49,0
4,26,116,24,2.76367,0.034296667,0,2.11014,30,0,102.47,0
4,27,117,1,2.34264,0.032437709,0,2.32827,30,0,102.42,0
4,27,117,2,1.94269,0.034452215,0,2.65108,30,0,102.39,0
4,27,117,3,1.82014,0.031014417,0,2.44547,30,0,102.36,0
4,27,117,4,1.68238,0.039910155,0,2.82175,30,0,102.33,1.828442376
4,27,117,5,1.95728,0.044107678,0,1.76962,30,0,102.34,76.1962041
4,27,117,6,2.82161,0.075240435,0,1.79355,30,0.14843664,102.33,241.387857
4,27,117,7,6.29534,0.264140305,0,1.3984,30,0.5557896,102.32,592.1506665
4,27,117,8,9.33153,0.501735817,0,2.18147,30,0.9436428,102.3,851.489712
4,27,117,9,11.269,0.658443856,0,1.92133,30,1.3017348,102.3,1090.15065
4,27,117,10,12.8243,0.76010815,0,2.73717,30,1.5867252,102.27,1285.03076
4,27,117,11,13.819,0.86466685,0,1.47263,30,1.7801316,102.24,1406.339582
4,27,117,12,14.4877,0.962966915,0,1.79523,30,1.8889128,102.17,1475.386569
4,27,117,13,14.6394,1.024413007,0,1.0353,30,1.4791932,102.11,1206.406652
4,27,117,14,15.3845,1.120995444,0,1.04791,30,1.814922,102.05,1389.517412
4,27,117,15,15.6456,1.127924107,0,1.47224,30,1.0218204,101.99,854.6135355
4,27,117,16,15.9561,1.213053283,0,0.602659,30,1.0280628,101.93,868.311882
4,27,117,17,16.0636,1.270244978,0,1.06559,30,0.6143184,101.89,616.2528465
4,27,117,18,15.8315,1.260774224,0,0.309542,30,0.0830736,101.85,276.660945
4,27,117,19,15.4461,1.178523496,0,1.29152,30,0,101.82,130.8168441
4,27,117,20,13.1246,0.759909015,0,2.48953,30,0,101.79,1.928176457
4,27,117,21,11.8406,0.610781349,0,2.715,30,0,101.75,0
4,27,117,22,10.8626,0.525731808,0,3.01827,30,0,101.72,0
4,27,117,23,9.45415,0.419565998,0,3.01579,30,0,101.68,0
4,27,117,24,8.74228,0.368498957,0,2.40332,30,0,101.62,0
4,28,118,1,8.56592,0.376560857,0.02375,2.41062,30,0,101.57,0
4,28,118,2,9.09552,0.424398095,0.02375,2.61923,30,0,101.5,0
4,28,118,3,8.23208,0.322527687,0.02375,1.99052,30,0,101.45,0
4,28,118,4,6.16098,0.200006024,0.02375,2.08135,30,0,101.35,1.728710352
4,28,118,5,5.06621,0.14748751,0.02375,2.19158,30,0,101.28,61.63515585
4,28,118,6,5.08893,0.13791239,0.02375,2.21417,30,0.10410588,101.21,137.6318795
4,28,118,7,6.32487,0.175644918,0.02375,1.88344,30,0.4473396,101.14,376.8597945
4,28,118,8,8.18909,0.268320735,0.02375,2.01847,30,0.3630924,101.07,318.6485055
4,28,118,9,10.1275,0.40470275,0.02375,2.07207,30,0.5471424,101,452.754927
4,28,118,10,11.757,0.589954865,0.02375,2.88048,30,0.681246,100.91,559.602441
4,28,118,11,13.0075,0.72476994,0.02375,3.56016,30,0.6876612,100.83,551.2263165
4,28,118,12,13.6179,0.803055093,0.02375,3.44886,30,0.77526,100.74,617.1165765
4,28,118,13,14.4813,0.950949946,0.02375,3.77905,30,0.6002928,100.65,479.7835065
4,28,118,14,12.6769,0.604651847,0.02375,2.64655,30,0.35991324,100.61,307.1444445
4,28,118,15,11.9361,0.402888575,0.02375,1.31941,30,0.20481336,100.55,191.654078
4,28,118,16,11.1685,0.248333028,0.02375,1.37509,30,0.2223666,100.46,202.9239036
4,28,118,17,12.6485,0.468216624,0.02375,1.49999,30,0.5699484,100.38,489.689667
4,28,118,18,13.518,0.717810113,0.02375,2.58539,30,0.024429492,100.31,190.1581799
4,28,118,19,7.87442,0.228378042,0.02375,4.14683,30,0,100.42,47.0741076
4,28,118,20,7.0452,0.144684028,0.02375,1.49079,30,0,100.38,7.413497415
4,28,118,21,6.34206,0.082576515,0.02375,1.93331,30,0,100.41,0
4,28,118,22,5.97253,0.076442415,0.02375,2.29715,30,0,100.42,0
4,28,118,23,5.95201,0.127949225,0.02375,2.38302,30,0,100.44,0
4,28,118,24,5.21988,0.172717261,0.02375,2.7217,30,0,100.45,0
4,29,119,1,4.44314,0.187647091,0,2.81066,30,0,100.45,0
4,29,119,2,3.88956,0.179401035,0,2.87243,30,0,100.48,0
4,29,119,3,3.85577,0.219253042,0,4.23523,30,0,100.5,0
4,29,119,4,3.35981,0.252339605,0,3.71967,30,0,100.54,3.756629115
4,29,119,5,3.1699,0.280812608,0,4.18876,30,0,100.59,124.0016031
4,29,119,6,3.57046,0.301066088,0,3.78517,30,0.16015896,100.62,368.746902
4,29,119,7,4.11623,0.344011627,0,4.25894,30,0.5761836,100.65,652.687857
4,29,119,8,5.06635,0.439849773,0,4.4418,30,0.987282,100.65,916.614954
4,29,119,9,5.71204,0.521337329,0,4.71225,30,1.4438556,100.69,1208.368553
4,29,119,10,5.77227,0.527898904,0,3.78647,30,0.9878688,100.72,781.4432655
4,29,119,11,6.50978,0.608844623,0,3.69117,30,1.6538148,100.74,1239.551262
4,29,119,12,7.10115,0.654412299,0,3.67492,30,2.1386412,100.7,1649.255418
4,29,119,13,7.367,0.673692028,0,3.1703,30,1.1907288,100.68,977.717682
4,29,119,14,7.51672,0.683857671,0,3.92166,30,0.9511092,100.66,808.969518
4,29,119,15,8.31656,0.743540813,0,3.87731,30,1.2095784,100.64,1012.326521
