mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,LAI,HD,R,PAR
1,3,3,18,0.33,0.0836,1.45,0.03,99.54,28.558,0,-40.4,0,0
1,3,3,19,-0.25,0.04705,1.41,0.03,99.52,27.954,0,-37.5,0,0
1,3,3,20,0.04,0.04848,1.38,0.03,99.53,27.082,0,-34.6,0,0
1,3,3,21,-0.21,0.02635,1.36,0.013,99.51,26.182,0,-31.7,0,0
1,3,3,22,0.15,0.04879,1.32,0.013,99.53,25.275,0,-32.87,0,0
1,3,3,23,-0.03,0.04768,1.27,0.013,99.52,24.648,0,-34.03,0,0
1,4,4,0,-1.09,0.00987,1.22,0.003,99.46,24.407,3.25e-08,-35.2,0,0
1,4,4,1,-0.5,0.04645,1.21,0.003,99.5,24.308,3.25e-08,-37.23,0,0
1,4,4,2,-0.79,0.04606,1.21,0.003,99.48,24.509,3.25e-08,-39.27,0,0
1,4,4,3,-1.29,0.03757,1.21,0,99.47,24.807,3.25e-08,-41.3,0,0
1,4,4,4,-1.16,0.04582,1.23,0,99.46,25.115,3.25e-08,-42.07,0,0
1,4,4,5,-1.22,0.04585,1.24,0,99.47,25.51,3.25e-08,-42.83,0,0
1,4,4,6,-0.71,0.07009,1.26,0,99.46,25.804,3.25e-08,-43.6,0,0
1,4,4,7,-1.1,0.04531,1.26,0,99.47,26.251,3.25e-08,-39.83,0,0
1,4,4,8,-0.9,0.04479,1.25,0,99.46,26.647,3.25e-08,-36.07,0,0
1,4,4,9,0.43,0.09424,1.24,0.013,99.51,26.979,3.25e-08,-32.3,1.7,3.49605
1,4,4,10,-0.33,0.04449,1.36,0.013,99.47,28.513,3.25e-08,-23.93,24,49.356
1,4,4,11,0.05,0.04778,1.47,0.013,99.49,29.587,3.25e-08,-15.57,41.26,84.85119
1,4,4,12,-0.13,0.02794,1.57,0.013,99.53,30.249,3.25e-08,-7.2,191.54,393.90201
1,4,4,13,0.24,0.05843,1.5,0.013,99.51,30.108,3.25e-08,-13.83,174.88,359.64072
1,4,4,14,0.05,0.06309,1.42,0.013,99.52,29.88,3.25e-08,-20.47,115.63,237.793095
1,4,4,15,-1.7,0.00132,1.34,0.003,99.51,29.919,3.25e-08,-27.1,24.96,51.33024
1,4,4,16,-0.65,0.05697,1.24,0.003,99.53,29.462,3.25e-08,-30.73,0,0
1,4,4,17,-1.17,0.05034,1.13,0.003,99.52,29.108,3.25e-08,-34.37,0,0
1,4,4,18,-2.07,0.03477,0.99,0,99.61,28.115,3.25e-08,-38,0,0
1,4,4,19,-1.83,0.04871,0.96,0,99.53,27.313,3.25e-08,-38.27,0,0
1,4,4,20,-1.96,0.04819,0.92,0,99.57,27.006,3.25e-08,-38.53,0,0
1,4,4,21,-2.55,0.02976,0.89,0,99.65,26.979,3.25e-08,-38.8,0,0
1,4,4,22,-2.23,0.04707,0.87,0,99.62,26.603,3.25e-08,-39.57,0,0
1,4,4,23,-2.39,0.04631,0.86,0,99.63,26.432,3.25e-08,-40.33,0,0
1,5,5,0,-2.93,0.03236,0.85,0,99.55,26.51,0,-41.1,0,0
1,5,5,1,-2.67,0.04298,0.8,0,99.63,25.932,0,-38.63,0,0
1,5,5,2,-2.79,0.04053,0.75,0,99.59,25.522,0,-36.17,0,0
1,5,5,3,-2.7,0.04724,0.7,0,99.58,24.946,0,-33.7,0,0
1,5,5,4,-2.86,0.03898,0.72,0,99.56,25.133,0,-33.8,0,0
1,5,5,5,-2.78,0.03919,0.73,0,99.57,25.218,0,-33.9,0,0
1,5,5,6,-3.75,0.00186,0.74,0,99.58,26.022,0,-34,0,0
1,5,5,7,-3.05,0.03394,0.67,0,99.58,24.942,0,-30.4,0,0
1,5,5,8,-3.4,0.02986,0.59,0,99.58,24.25,0,-26.8,0,0
1,5,5,9,-0.48,0.15601,0.5,0,99.58,21.52,0,-23.2,7.38,15.17697
1,5,5,10,-2.66,0.02547,0.51,0,99.58,23.193,0,-19.03,97.45,200.405925
1,5,5,11,-1.57,0.03291,0.53,0,99.58,23.71,0,-14.87,166.87,343.168155
1,5,5,12,0.17,0.08102,0.56,0,99.56,24.094,0,-10.7,194.6,400.1949
1,5,5,13,-0.26,0.05797,0.52,0,99.58,22.71,0,-10.2,178.15,366.365475
1,5,5,14,-0.04,0.06179,0.47,0,99.57,20.636,0,-9.7,118.92,244.55898
1,5,5,15,-2.7,0,0.42,0,99.54,18.489,0,-9.2,27.44,56.43036
1,5,5,16,-0.78,0.0354,0.4,0,99.56,15.251,0,-9.63,0,0
1,5,5,17,-1.74,0.01781,0.37,0,99.55,12.902,0,-10.07,0,0
1,5,5,18,-2.8,0.01458,0.32,0.003,99.65,10.769,0,-10.5,0,0
1,5,5,19,-2.74,0.0026,0.31,0.003,99.56,9.258,0,-10.1,0,0
1,5,5,20,-2.78,0,0.3,0.003,99.6,7.876,0,-9.7,0,0
1,5,5,21,-3.05,0,0.31,0,99.64,6.68,0,-9.3,0,0
1,5,5,22,-2.88,0,0.3,0,99.65,5.698,0,-8.9,0,0
1,5,5,23,-2.97,0,0.29,0,99.64,5.256,0,-8.5,0,0
1,6,6,0,-1.79,0,0.28,0.007,99.64,5.109,0,-8.1,0,0
1,6,6,1,-2.63,0,0.34,0.007,99.64,6.36,0,-12.6,0,0
1,6,6,2,-2.21,0,0.41,0.007,99.64,8.044,0,-17.1,0,0
1,6,6,3,-0.4,0.03237,0.48,0.023,99.66,10.054,0,-21.6,0,0
1,6,6,4,-1.33,0,0.48,0.023,99.64,12.128,0,-20,0,0
1,6,6,5,-0.87,0,0.48,0.023,99.65,13.996,0,-18.4,0,0
1,6,6,6,-0.97,0,0.49,0.037,99.81,15.813,0,-16.8,0,0
1,6,6,7,-0.6,0,0.44,0.037,99.69,16.38,0,-14.67,0,0
1,6,6,8,-0.79,0,0.4,0.037,99.74,16.517,0,-12.53,0,0
1,6,6,9,1.74,0.10234,0.35,0.047,99.9,16.184,0,-10.4,5.71,11.742615
1,6,6,10,-0.07,0,0.41,0.047,99.83,19.093,0,-9.1,70.81,145.620765
1,6,6,11,0.83,0.00056,0.45,0.047,99.86,21.568,0,-7.8,120.75,248.322375
1,6,6,12,2.41,0.06452,0.48,0.03,99.91,23.065,0,-6.5,178.1,366.26265
1,6,6,13,1.96,0.03381,0.46,0.03,99.9,22.715,0,-5.5,163.53,336.299445
1,6,6,14,2.19,0.03657,0.43,0.03,99.91,22.01,0,-4.5,110.1,226.42065
1,6,6,15,0.44,0,0.41,0.033,99.91,21.11,0,-3.5,28.8,59.2272
1,6,6,16,1.75,0.02759,0.4,0.033,99.91,19.29,0,-6.53,0,0
1,6,6,17,1.1,0.01951,0.42,0.033,99.91,18.613,0,-9.57,0,0
1,6,6,18,-0.14,0,0.45,0.012,99.98,18.83,0,-12.6,0,0
1,6,6,19,0.24,0.00554,0.39,0.012,99.93,18.323,0,-11.8,0,0
1,6,6,20,0.05,0,0.35,0.012,99.95,18.068,0,-11,0,0
1,6,6,21,-1.18,0,0.35,0.01,99.97,17.974,0,-10.2,0,0
1,6,6,22,-0.49,0,0.32,0.01,99.98,17.085,0,-9.23,0,0
1,6,6,23,-0.83,0,0.3,0.01,99.97,16.146,0,-8.27,0,0
1,7,7,0,-1.19,0,0.28,0.03,99.97,15.22,0,-7.3,0,0
1,7,7,1,-1.18,0,0.25,0.03,99.97,13.886,0,-5.97,0,0
1,7,7,2,-1.19,0,0.22,0.03,99.97,12.812,0,-4.63,0,0
1,7,7,3,-0.99,0,0.21,0.017,99.93,12.163,0,-3.3,0,0
1,7,7,4,-1.12,0,0.22,0.017,99.96,12.224,0,-3.73,0,0
1,7,7,5,-1.05,0.0013,0.23,0.017,99.95,12.033,0,-4.17,0,0
1,7,7,6,-3.53,0,0.25,0,99.91,12.22,0,-4.6,0,0
1,7,7,7,-1.83,0,0.24,0,99.93,10.236,0,-4.23,0,0
1,7,7,8,-2.68,0,0.23,0,99.92,8.977,0,-3.87,0,0
1,7,7,9,-0.06,0.08986,0.21,0,99.89,7.761,0,-3.5,8.64,17.76816
1,7,7,10,-2.37,0,0.32,0,99.91,10.067,0,-3.77,99.37,204.354405
1,7,7,11,-1.21,0,0.38,0,99.9,10.242,0,-4.03,168.62,346.76703
1,7,7,12,0.19,0.0507,0.41,0.01,99.82,9.728,0,-4.3,193.75,398.446875
1,7,7,13,0.03,0.0273,0.31,0.01,99.87,8.106,0,-3.2,178.32,366.71508
1,7,7,14,0.11,0,0.23,0.01,99.85,5.952,0,-2.1,121.25,249.350625
1,7,7,15,-1.25,0,0.18,0.013,99.66,3.719,0,-1,27.89,57.355785
1,7,7,16,-0.28,0,0.16,0.013,99.78,0.869,0,-2.4,0,0
1,7,7,17,-0.76,0,0.21,0.013,99.73,0.728,0,-3.8,0,0
1,7,7,18,-1.54,0.03994,0.3,0.02,99.6,1.845,0,-5.2,0,0
1,7,7,19,-1.34,0.04923,0.31,0.02,99.65,3.438,0,-4.9,0,0
1,7,7,20,-1.44,0.04808,0.31,0.02,99.63,5.073,0,-4.6,0,0
1,7,7,21,-1.45,0.05207,0.32,0.021,99.49,6.496,0,-4.3,0,0
1,7,7,22,-1.5,0.04236,0.3,0.021,99.58,7.179,0,-4,0,0
1,7,7,23,-1.47,0.04028,0.29,0.021,99.54,7.382,0,-3.7,0,0
1,8,8,0,-2.6,0,0.3,0.043,99.44,7.407,0,-3.4,0,0
1,8,8,1,-1.83,0.03286,0.33,0.043,99.48,7.655,0,-2.37,0,0
1,8,8,2,-2.21,0.03276,0.35,0.043,99.46,8.097,0,-1.33,0,0
1,8,8,3,-2.52,0.04258,0.37,0.03,99.37,8.408,0,-0.3,0,0
1,8,8,4,-2.57,0.03749,0.36,0.03,99.42,8.293,0,-0.77,0,0
1,8,8,5,-2.54,0.03803,0.36,0.03,99.4,8.324,0,-1.23,0,0
1,8,8,6,-4.66,0,0.35,0.01,99.21,8.889,0,-1.7,0,0
1,8,8,7,-3.22,0.01424,0.34,0.01,99.33,8.543,0,-2.67,0,0
1,8,8,8,-3.93,0,0.3,0.01,99.28,8.248,0,-3.63,0,0
1,8,8,9,-1.5,0.12258,0.24,0.013,99.15,7.068,0,-4.6,9.55,19.639575
1,8,8,10,-3.6,0,0.53,0.013,99.2,13.931,0,-1.67,100.16,205.97904
1,8,8,11,-2.55,0.0217,0.59,0.013,99.18,17.632,0,1.27,168.62,346.76703
1,8,8,12,-0.49,0.09636,0.62,0.037,98.99,20.324,0,4.2,64.67,132.993855
1,8,8,13,-1.15,0.05645,0.66,0.037,99.11,21.524,0,1.07,59.68,122.73192
1,8,8,14,-0.81,0.05838,0.69,0.037,99.06,21.729,0,-2.07,41.04,84.39876
1,8,8,15,-1.41,0.0273,0.73,0.013,98.84,21.43,0,-5.2,29.52,60.70788
1,8,8,16,-0.78,0.05441,0.71,0.013,98.96,20.822,0,-8.83,0,0
1,8,8,17,-1.09,0.04854,0.68,0.013,98.91,20.995,0,-12.47,0,0
1,8,8,18,-2.71,0,0.64,0,98.86,21.96,0,-16.1,0,0
1,8,8,19,-1.85,0.0407,0.63,0,98.84,22.41,0,-20.1,0,0
1,8,8,20,-2.28,0.03521,0.63,0,98.85,23.333,0,-24.1,0,0
1,8,8,21,-2.51,0.0405,0.63,0,98.75,23.924,0,-28.1,0,0
1,8,8,22,-2.63,0.03368,0.66,0,98.84,24.648,0,-29.97,0,0
1,8,8,23,-2.57,0.03463,0.69,0,98.8,24.842,0,-31.83,0,0
1,9,9,0,-1.93,0.05736,0.72,0.003,98.79,24.449,0,-33.7,0,0
1,9,9,1,-2.32,0.0364,0.74,0.003,98.76,24.445,0,-32.53,0,0
1,9,9,2,-2.13,0.03823,0.76,0.003,98.77,24.253,0,-31.37,0,0
1,9,9,3,-1.54,0.05621,0.78,0.01,98.83,24.08,0,-30.2,0,0
1,9,9,4,-1.8,0.04079,0.75,0.01,98.8,24.259,0,-28.63,0,0
1,9,9,5,-1.67,0.04074,0.73,0.01,98.81,24.629,0,-27.07,0,0
1,9,9,6,-2.1,0.01806,0.7,0.007,98.96,25.329,0,-25.5,0,0
1,9,9,7,-1.74,0.03986,0.7,0.007,98.86,25.673,0,-26.27,0,0
1,9,9,8,-1.92,0.03935,0.71,0.007,98.9,26.233,0,-27.03,0,0
1,9,9,9,0.67,0.15652,0.71,0.003,99.03,26.328,0,-27.8,10.48,21.55212
1,9,9,10,-1.18,0.03077,0.82,0.003,98.98,30.006,0,-18.97,101.5,208.73475
1,9,9,11,-0.26,0.03686,0.9,0.003,99,32.226,0,-10.13,169.66,348.90579
1,9,9,12,1.83,0.10655,0.95,0.016,99,33.646,0,-1.3,203.13,417.736845
1,9,9,13,1.06,0.0512,0.9,0.016,99.02,33.552,0,-4.67,188.09,386.807085
1,9,9,14,1.45,0.05287,0.85,0.016,99.01,32.918,0,-8.03,130.52,268.41438
1,9,9,15,0.33,0,0.79,0.028,99.12,31.73,0,-11.4,36.58,75.22677
1,9,9,16,1.32,0.04252,0.74,0.028,99.03,30.367,0,-13.6,0,0
1,9,9,17,0.82,0.03417,0.67,0.028,99.07,28.783,0,-15.8,0,0
1,9,9,18,-1.59,0,0.59,0.003,99.35,26.918,0,-18,0,0
1,9,9,19,-0.33,0.01648,0.47,0.003,99.17,24.489,0,-13.63,0,0
1,9,9,20,-0.97,0,0.36,0.003,99.25,22.14,0,-9.27,0,0
1,9,9,21,-2.79,0,0.25,0.003,99.38,18.532,0,-4.9,0,0
1,9,9,22,-1.99,0,0.22,0.003,99.36,17.021,0,-5.23,0,0
1,9,9,23,-2.39,0,0.23,0.003,99.37,16.546,0,-5.57,0,0
1,10,10,0,-1.12,0.03213,0.26,0.013,99.42,15.78,0,-5.9,0,0
1,10,10,1,-2.24,0,0.22,0.013,99.39,13.871,0,-4.87,0,0
1,10,10,2,-1.68,0,0.2,0.013,99.4,11.915,0,-3.83,0,0
1,10,10,3,-1.17,0,0.19,0.01,99.43,10.556,0,-2.8,0,0
1,10,10,4,-1.14,0,0.23,0.01,99.42,9.961,0,-5.37,0,0
1,10,10,5,-1.15,0,0.29,0.01,99.43,9.257,0,-7.93,0,0
1,10,10,6,-1.81,0,0.37,0.01,99.48,8.423,0,-10.5,0,0
1,10,10,7,-1.39,0.00292,0.43,0.01,99.44,7.538,0,-15.27,0,0
1,10,10,8,-1.6,0.01064,0.5,0.01,99.46,7.742,0,-20.03,0,0
1,10,10,9,0.78,0.12832,0.58,0.003,99.56,9.57,0,-24.8,11.67,23.999355
1,10,10,10,-0.95,0,0.83,0.003,99.5,17.655,0,-16.67,105.34,216.63171
1,10,10,11,-0.09,0.0167,0.96,0.003,99.52,23.037,0,-8.53,175.18,360.25767
1,10,10,12,0.47,0.03603,1.05,0.007,99.32,25.95,0,-0.4,93.86,193.02309
1,10,10,13,0.7,0.05082,1.12,0.007,99.51,26.369,0,-4.6,87.05,179.018325
1,10,10,14,0.59,0.0524,1.2,0.007,99.43,24.999,0,-8.8,60.94,125.32311
1,10,10,15,-0.36,0.01627,1.29,0.01,99.35,22.041,0,-13,10.5,21.59325
1,10,10,16,0.19,0.04964,1.29,0.01,99.33,17.257,0,-15.53,0,0
1,10,10,17,-0.09,0.04639,1.29,0.01,99.34,12.808,0,-18.07,0,0
1,10,10,18,-1.38,0.00066,1.3,0.087,99.39,9.4,0,-20.6,0,0
1,10,10,19,-0.7,0.0417,1.3,0.087,99.36,7.739,0,-17.77,0,0
1,10,10,20,-1.04,0.04022,1.29,0.087,99.37,7.704,0,-14.93,0,0
1,10,10,21,-0.99,0.05544,1.29,0.06,99.34,8.235,0,-12.1,0,0
1,10,10,22,-1.25,0.03708,1.2,0.06,99.38,8.276,0,-13.5,0,0
1,10,10,23,-1.12,0.03564,1.1,0.06,99.36,7.468,0,-14.9,0,0
1,11,11,0,-1.01,0.03452,1,0.011,99.34,6.032,0,-16.3,0,0
1,11,11,1,-1,0.03484,0.99,0.011,99.34,4.452,0,-16.23,0,0
1,11,11,2,-1,0.03437,0.98,0.011,99.34,2.951,0,-16.17,0,0
1,11,11,3,-0.33,0.063,0.98,0.013,99.3,1.712,0,-16.1,0,0
1,11,11,4,-0.78,0.03407,0.99,0.013,99.33,0.786,0,-17.37,0,0
1,11,11,5,-0.55,0.03421,1.01,0.013,99.32,0.179,0,-18.63,0,0
1,11,11,6,-0.51,0.02635,1.03,0,99.33,0.002,0,-19.9,0,0
1,11,11,7,-0.39,0.03386,1.12,0,99.31,0.012,0,-20.63,0,0
1,11,11,8,-0.45,0.03412,1.21,0,99.32,0.018,0,-21.37,0,0
1,11,11,9,1.16,0.11145,1.3,0.69,99.18,2.934,0,-22.1,3.35,6.889275
1,11,11,10,0.06,0.03498,1.44,0.69,99.3,5.302,0,-23.33,27.58,56.71827
1,11,11,11,0.62,0.03547,1.59,0.69,99.25,6.829,0,-24.57,45.55,93.673575
1,11,11,12,3.24,0.14386,1.74,1.007,99.02,7.126,0,-25.8,53.07,109.138455
1,11,11,13,1.87,0.03606,1.67,1.007,99.14,7.01,0,-29.57,49.37,101.529405
1,11,11,14,2.56,0.0373,1.61,1.007,99.09,7.373,0,-33.33,34.88,71.73072
1,11,11,15,6.79,0.25839,1.55,0.183,98.96,9.632,0,-37.1,11.42,23.48523
1,11,11,16,4.43,0.03931,1.54,0.183,99.01,14.267,0,-41.9,0,0
1,11,11,17,5.61,0.04261,1.56,0.183,98.99,19.359,0,-46.7,0,0
1,11,11,18,8.79,0.19421,1.61,0,99.13,22.664,0,-51.5,0,0
1,11,11,19,7.44,0.05315,1.63,0,99,24.711,0,-56.97,0,0
1,11,11,20,8.11,0.05834,1.66,0,99.05,26.392,0,-62.43,0,0
1,11,11,21,9.94,0.15875,1.7,0.01,99.09,27.41,0,-67.9,0,0
1,11,11,22,9.18,0.07114,1.74,0.01,99.12,27.811,0,-66.77,0,0
1,11,11,23,9.56,0.07724,1.79,0.01,99.11,28.035,0,-65.63,0,0
1,12,12,0,7.31,0,1.84,0.003,99.02,28.399,0,-64.5,0,0
1,12,12,1,9.07,0.07737,1.9,0.003,99.07,28.848,0,-69.27,0,0
1,12,12,2,8.19,0.07383,1.97,0.003,99.05,29.251,0,-74.03,0,0
1,12,12,3,7.99,0.12383,2.04,0.007,98.89,29.543,0,-78.8,0,0
1,12,12,4,7.55,0.0751,2.1,0.007,98.99,29.797,0,-80.3,0,0
1,12,12,5,7.78,0.07621,2.16,0.007,98.95,30.007,0,-81.8,0,0
1,12,12,6,8.28,0.0976,2.22,0.08,98.97,30.181,0,-83.3,0,0
1,12,12,7,8.08,0.07501,2.32,0.08,98.91,30.628,0,-79.03,0,0
1,12,12,8,8.18,0.07398,2.43,0.08,98.93,30.945,0,-74.77,0,0
1,12,12,9,8.71,0.10482,2.53,0.21,99.12,31.386,0,-70.5,8.46,17.39799
1,12,12,10,8.41,0.07247,2.46,0.21,99,31.594,0,-60.57,64.51,132.664815
1,12,12,11,8.55,0.07196,2.41,0.21,99.05,31.6,0,-50.63,105.61,217.186965
1,12,12,12,9.62,0.14457,2.36,0.01,99.09,31.519,0,-40.7,76.61,157.548465
1,12,12,13,9.02,0.07557,2.31,0.01,99.11,31.475,0,-37.77,71.5,147.03975
1,12,12,14,9.32,0.07895,2.26,0.01,99.1,31.531,0,-34.83,50.96,104.79924
1,12,12,15,8.49,0,2.21,0.003,99.13,31.536,0,-31.9,46.08,94.76352
1,12,12,16,9.24,0.07953,2.17,0.003,99.1,31.421,0,-41.9,0,0
1,12,12,17,8.86,0.078,2.14,0.003,99.11,31.248,0,-51.9,0,0
1,12,12,18,6.71,0,2.1,0,99.26,31.032,0,-61.9,0,0
1,12,12,19,7.89,0.07193,2.06,0,99.16,30.853,0,-59.7,0,0
1,12,12,20,7.29,0.06832,2.03,0,99.2,30.687,0,-57.5,0,0
1,12,12,21,6.51,0.05422,2,0,99.17,30.102,0,-55.3,0,0
1,12,12,22,6.65,0.06665,2.1,0,99.24,29.036,0,-54.93,0,0
1,12,12,23,6.58,0.06626,2.21,0,99.21,27.235,0,-54.57,0,0
1,13,13,0,7.31,0.12205,2.31,0,99.03,25.827,0,-54.2,0,0
1,13,13,1,6.79,0.06865,2.42,0,99.14,26.659,0,-59,0,0
1,13,13,2,7.06,0.07133,2.54,0,99.09,29.389,0,-63.8,0,0
1,13,13,3,6.49,0.01848,2.66,0,98.9,31.775,0,-68.6,0,0
1,13,13,4,7.05,0.07569,2.69,0,99,32.789,0,-76.03,0,0
1,13,13,5,6.77,0.07737,2.73,0,98.96,32.929,0,-83.47,0,0
1,13,13,6,6.58,0.08442,2.76,0.023,98.94,32.759,0,-90.9,0,0
1,13,13,7,6.52,0.07619,2.7,0.023,98.91,32.576,0,-87.17,0,0
1,13,13,8,6.55,0.07398,2.64,0.023,98.92,32.303,0,-83.43,0,0
1,13,13,9,8.43,0.20315,2.59,0.083,99.07,31.746,0,-79.7,13.95,28.688175
1,13,13,10,7.18,0.07179,2.46,0.083,98.97,30.617,0,-64.63,98.21,201.968865
1,13,13,11,7.8,0.07333,2.35,0.083,99.01,29.381,0,-49.57,159.59,328.196835
1,13,13,12,9.14,0.1301,2.24,0.01,99.23,28.277,0,-34.5,74.8,153.8262
1,13,13,13,8.65,0.07517,2.16,0.01,99.11,27.447,0,-33.23,70.04,144.03726
1,13,13,14,8.89,0.07479,2.07,0.01,99.16,26.838,0,-31.97,50.34,103.52421
